,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
39,Central African Rep,SUB-SAHARAN AFRICA,4303356,622984,6.9,1100.0,51.0,3.1,33.91,18.65,,,,,,,,,
40,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.7,1200.0,47.5,2.86,45.73,16.38,26.55,TCD,322.0,322.0,322.0,2359.69712815421,1663.11259505104,1097.81060703145,5.66133333333333
41,Chile,LATIN AMER. & CARIB,16134219,756950,21.3,9900.0,96.2,2.65,15.23,5.81,8.45,CHL,1522.0,1522.0,1522.0,64505.224157840596,56425.460468418,49834.0020943795,
42,China,ASIA,1313973713,9596960,136.9,5000.0,90.9,15.4,13.25,6.97,6.95,CHN,645.0,645.0,645.0,2414.65445462115,2196.9696969697,2061.9085664861104,19.5449697831497
43,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.3,6300.0,92.5,2.42,20.48,5.58,24.5,COL,3240.0,3240.0,3240.0,62313.7686208139,52476.6020409362,45668.2163840571,0.361118881118881
44,Comoros,SUB-SAHARAN AFRICA,690948,2170,318.4,700.0,56.5,35.87,36.93,8.2,25.55,COM,900.0,900.0,900.0,2749.468436102349,2107.18920276252,1580.21569944297,0.833333333333333
45,"Congo, Dem. Rep",SUB-SAHARAN AFRICA,62660551,2345410,26.7,700.0,65.5,2.96,43.69,13.27,,,,,,,,,
46,"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,10.8,700.0,83.8,0.51,42.57,12.93,,,,,,,,,
47,Cook Islands,OCEANIA,21388,240,89.1,5000.0,95.0,17.39,21.0,,,,,,,,,,
48,Costa Rica,LATIN AMER. & CARIB,4075261,51100,79.8,9100.0,96.0,4.41,18.32,4.36,24.8,CRI,2926.0,2926.0,2926.0,34382.8730693865,27554.7589873016,23564.2687277547,
49,Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,54.8,1400.0,50.9,9.75,35.11,14.84,,CIV,1348.0,1348.0,1348.0,5997.305271189572,4459.26507202868,3392.841554696789,1.83368037480479
50,Croatia,EASTERN EUROPE,4494749,56542,79.5,10600.0,98.5,26.09,9.61,11.48,10.9,HRV,1113.0,1113.0,1113.0,8238.96404970652,8763.01144491134,8894.88907223948,
51,Cuba,LATIN AMER. & CARIB,11382820,110860,102.7,2900.0,97.0,33.05,11.89,7.22,25.2,CUB,1335.0,1335.0,1335.0,3550.542654619289,3403.6774895932,3371.39209307731,
52,Cyprus,NEAR EAST,784301,9250,84.8,19200.0,97.6,7.79,12.56,7.68,18.45,CYP,498.0,498.0,498.0,974.2559120471741,798.391752408482,676.9158671682791,21.884615384615397
53,Czech Republic,EASTERN EUROPE,10235455,78866,129.8,15700.0,99.9,39.8,9.02,10.59,7.55,CZE,,677.0,677.0,,1289.60560232133,1249.36498530642,14.5095057034221
54,Denmark,WESTERN EUROPE,5450661,43094,126.5,31100.0,100.0,54.02,11.13,10.36,7.5,DNK,703.0,703.0,703.0,1160.23413524849,1116.0857533327699,1063.17472833671,10.881666666666698
